"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","23202","愛知県","岡崎市","青木町","東岡崎","1H?1H30",19000000,"330000","","190",100000,"袋地等","","","","","","その他","東","市道",7.0,"近隣商業地域",80,200,"2018年第４四半期","",""
2,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","青木町","東岡崎","1H?1H30",37000000,"","","120",,"長方形","8.5","105","平成30年","木造","住宅","住宅","南","市道",9.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
3,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","青木町","東岡崎","1H?1H30",21000000,"","","175",,"ほぼ正方形","13.0","","","","","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
4,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","25",19000000,"","","125",,"ほぼ正方形","11.5","100","昭和62年","木造","住宅","住宅","南西","市道",6.0,"第１種住居地域",60,200,"2019年第１四半期","",""
5,"宅地(土地)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","30分?60分",17000000,"430000","","130",130000,"ほぼ整形","18.0","","","","","","北東","道路",3.0,"第１種住居地域",60,200,"2018年第４四半期","",""
6,"宅地(土地)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","30分?60分",19000000,"120000","","520",36000,"長方形","31.5","","","","","","接面道路無","",,"第１種住居地域",60,200,"2018年第４四半期","",""
7,"宅地(土地)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","30分?60分",84000000,"230000","","1200",70000,"長方形","31.5","","","","","","南西","市道",4.5,"第１種住居地域",60,200,"2018年第４四半期","",""
8,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","28",38000000,"","","160",,"長方形","11.3","110","平成30年","木造","住宅","住宅","北西","市道",4.1,"第１種住居地域",60,200,"2018年第３四半期","",""
9,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","30分?60分",32000000,"","","130",,"ほぼ長方形","19.5","100","平成29年","木造","住宅","住宅","南東","市道",6.5,"第１種住居地域",60,200,"2018年第１四半期","",""
10,"中古マンション等","","23202","愛知県","岡崎市","朝日町","東岡崎","18",5300000,"","４ＬＤＫ","75",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2018年第４四半期","未改装","調停・競売等"
11,"中古マンション等","","23202","愛知県","岡崎市","朝日町","東岡崎","15",20000000,"","３ＬＤＫ","70",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2018年第２四半期","未改装",""
12,"宅地(土地)","商業地","23202","愛知県","岡崎市","朝日町","東岡崎","20",37000000,"350000","","350",110000,"ほぼ整形","14.0","","","","","倉庫","南西","国道",24.0,"準工業地域",60,200,"2018年第１四半期","",""
13,"中古マンション等","","23202","愛知県","岡崎市","伊賀新町","東岡崎","30分?60分",11000000,"","３ＬＤＫ","70",,"","","","昭和63年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",60,100,"2019年第１四半期","",""
14,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","伊賀新町","東岡崎","30分?60分",37000000,"","","135",,"不整形","7.9","110","平成29年","木造","住宅","住宅","北","市道",8.0,"第１種住居地域",60,200,"2018年第４四半期","",""
15,"宅地(土地)","住宅地","23202","愛知県","岡崎市","伊賀新町","東岡崎","30分?60分",21000000,"400000","","170",120000,"台形","7.5","","","","","その他","北","市道",6.0,"第１種低層住居専用地域",60,100,"2018年第４四半期","",""
16,"宅地(土地)","住宅地","23202","愛知県","岡崎市","伊賀新町","東岡崎","30分?60分",22000000,"540000","","135",160000,"長方形","7.1","","","","","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2018年第４四半期","",""
17,"宅地(土地)","住宅地","23202","愛知県","岡崎市","伊賀新町","東岡崎","30分?60分",35000000,"420000","","270",130000,"ほぼ長方形","14.0","","","","","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
18,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","伊賀町","東岡崎","28",26000000,"","","110",,"不整形","6.0","95","平成30年","木造","住宅","住宅","東","市道",4.0,"近隣商業地域",80,200,"2018年第４四半期","",""
19,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","伊賀町","東岡崎","29",31000000,"","","130",,"ほぼ台形","12.0","95","平成30年","木造","住宅","住宅","南","市道",4.0,"準工業地域",60,200,"2018年第４四半期","",""
20,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","伊賀町","東岡崎","30分?60分",50000000,"","","160",,"ほぼ台形","11.0","","","","","住宅","南","市道",2.5,"準工業地域",60,200,"2018年第４四半期","",""
21,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","伊賀町","東岡崎","28",32000000,"","","160",,"不整形","19.5","105","平成30年","木造","住宅","住宅","南東","市道",3.6,"近隣商業地域",80,200,"2018年第３四半期","",""
22,"中古マンション等","","23202","愛知県","岡崎市","伊賀町","東岡崎","30分?60分",11000000,"","４ＬＤＫ","80",,"","","","平成8年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第３四半期","未改装",""
23,"宅地(土地)","住宅地","23202","愛知県","岡崎市","伊賀町","東岡崎","28",38000000,"160000","","780",49000,"不整形","23.0","","","","","住宅","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
24,"宅地(土地)","住宅地","23202","愛知県","岡崎市","伊賀町","東岡崎","30分?60分",12000000,"500000","","75",150000,"ほぼ長方形","6.6","","","","","その他","南","市道",4.3,"準工業地域",60,200,"2018年第２四半期","",""
25,"宅地(土地)","住宅地","23202","愛知県","岡崎市","石神町","東岡崎","30分?60分",66000000,"500000","","430",150000,"長方形","19.1","","","","","住宅","東","市道",8.0,"第１種低層住居専用地域",60,100,"2018年第３四半期","",""
26,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",42000000,"","","180",,"長方形","7.6","120","平成30年","木造","住宅","住宅","北","市道",6.0,"準工業地域",60,200,"2019年第１四半期","",""
27,"宅地(土地)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",21000000,"400000","","175",120000,"長方形","12.0","","","","","事務所","南東","市道",6.0,"準工業地域",60,200,"2019年第１四半期","",""
28,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",58000000,"","","165",,"長方形","14.3","","","","","住宅","東","道路",6.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
29,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",37000000,"","","165",,"長方形","16.0","105","平成30年","木造","住宅","住宅","南東","市道",6.0,"準工業地域",60,200,"2018年第４四半期","",""
30,"中古マンション等","","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",10000000,"","３ＬＤＫ","65",,"","","","平成3年","ＳＲＣ","","住宅","","",,"準工業地域",60,200,"2018年第４四半期","未改装",""
31,"中古マンション等","","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",11000000,"","３ＬＤＫ","80",,"","","","平成3年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第４四半期","未改装",""
32,"中古マンション等","","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",13000000,"","３ＬＤＫ","70",,"","","","平成3年","ＳＲＣ","","住宅","","",,"準工業地域",60,200,"2018年第２四半期","改装済",""
33,"中古マンション等","","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",13000000,"","３ＬＤＫ","65",,"","","","平成3年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第２四半期","改装済",""
34,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",24000000,"","","115",,"ほぼ長方形","6.8","100","平成29年","木造","住宅","住宅","西","市道",5.0,"第１種住居地域",60,500,"2018年第１四半期","",""
35,"宅地(土地)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",29000000,"430000","","220",130000,"不整形","14.0","","","","","店舗","南","市道",6.0,"準工業地域",60,200,"2018年第１四半期","",""
36,"宅地(土地)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",19000000,"520000","","120",160000,"不整形","10.3","","","","","","東","道路",8.0,"第１種住居地域",60,200,"2018年第１四半期","",""
37,"宅地(土地)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",20000000,"290000","","230",87000,"ほぼ整形","14.0","","","","","","北","市道",7.0,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
38,"中古マンション等","","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",16000000,"","３ＬＤＫ","75",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第１四半期","未改装",""
39,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","井田西町","東岡崎","30分?60分",38000000,"","","155",,"ほぼ長方形","9.0","100","平成31年","木造","住宅","住宅","西","市道",8.0,"近隣商業地域",80,200,"2019年第１四半期","",""
40,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井田西町","東岡崎","30分?60分",33000000,"","","135",,"袋地等","8.5","100","平成30年","木造","住宅","住宅","北","市道",6.0,"工業地域",60,200,"2018年第３四半期","",""
41,"宅地(土地)","住宅地","23202","愛知県","岡崎市","板屋町","東岡崎","24",9200000,"360000","","85",110000,"ほぼ長方形","5.5","","","","","","南","市道",4.7,"商業地域",80,400,"2018年第４四半期","",""
42,"宅地(土地)","住宅地","23202","愛知県","岡崎市","板屋町","東岡崎","24",5400000,"200000","","90",61000,"ほぼ長方形","13.2","","","","","","西","市道",,"商業地域",80,400,"2018年第４四半期","",""
43,"宅地(土地)","住宅地","23202","愛知県","岡崎市","板屋町","東岡崎","23",13000000,"340000","","130",100000,"ほぼ長方形","8.0","","","","","その他","西","市道",5.0,"商業地域",80,400,"2018年第２四半期","",""
44,"農地","","23202","愛知県","岡崎市","板屋町","","",11000000,"","","630",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
45,"農地","","23202","愛知県","岡崎市","板屋町","","",13000000,"","","790",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
46,"農地","","23202","愛知県","岡崎市","板屋町","","",7400000,"","","440",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
47,"農地","","23202","愛知県","岡崎市","板屋町","","",6600000,"","","390",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
